A1,A2,A3,A4,A5,A6,A7,A8,A9,Class,Scaled A2,Scaled A3,Scaled A4,Scaled A5,Scaled A6,Scaled A7,Scaled A8,Scaled A9,Scaled Class,KMeansMine,KMeans,Details,K Means Mine,K Means
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,1,0.5671641791044789,0.5624060150375939,0.0,0.7476635514018691,0.6482142857142855,0.9903381642512078,0.6914498141263941,1.0,1.0,3,5,Class,0,0
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,1,0.7164179104477654,0.5248120300751878,0.1982182628062361,0.6666666666666666,0.47857142857142776,0.9227053140096619,0.7769516728624535,1.0,1.0,3,2,Label in Dataset,3,4
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,1,0.7791922739244914,0.5789473684210527,0.20935412026726066,0.6105919003115264,0.4321428571428579,0.9371980676328503,0.7815985130111524,1.0,1.0,3,2,Number of elements,0,18
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,1,0.7142230026338889,0.6270676691729322,0.17817371937639204,0.6884735202492211,0.5,0.9082125603864734,0.7407063197026021,1.0,1.0,3,2,Centroid,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.6390596  0.53358396 0.55864885 0.54932503 0.5764881  0.9320093
 0.63517142 0.88465608 0.94335512]"
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,1,0.7247585601404745,0.618045112781955,0.1937639198218263,0.7040498442367601,0.4160714285714287,0.9114331723027376,0.7546468401486989,1.0,1.0,3,2,Class,1,1
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,1,0.7888498683055322,0.6902255639097745,0.19599109131403125,0.5856697819314641,0.4357142857142858,0.8969404186795492,0.7546468401486989,1.0,0.49019607843137253,1,1,Label in Dataset,2,2
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,1,0.7243195785776972,0.613533834586466,0.1982182628062361,0.7352024922118381,0.4142857142857135,0.9066022544283414,0.7453531598513011,1.0,1.0,3,2,Number of elements,40,38
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,1,0.7186128182616321,0.6360902255639097,0.19599109131403125,0.7632398753894082,0.3875000000000007,0.9082125603864734,0.7388475836431226,1.0,1.0,3,2,Centroid,"[0.69178007 0.645      0.24114699 0.69267913 0.48558036 0.91755233
 0.69075279 0.99198413 0.57058824]","[0.70227808 0.65160269 0.22910561 0.69085096 0.47702068 0.91537418
 0.69766191 0.99381788 0.56811146]"
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,1,0.6474978050921872,0.5022556390977444,0.20267260579064592,0.6635514018691588,0.5946428571428575,0.9098228663446055,0.733271375464684,1.0,1.0,3,2,Class,2,2
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,1,0.7190517998244094,0.6586466165413534,0.1982182628062361,0.6666666666666666,0.4321428571428579,0.9082125603864734,0.7239776951672863,1.0,0.7843137254901961,3,2,Label in Dataset,4,1
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,1,0.7998244073748949,0.700751879699248,0.2293986636971047,0.6043613707165109,0.3946428571428564,0.8921095008051529,0.7527881040892194,1.0,0.5294117647058824,1,1,Number of elements,19,93
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,1,0.7155399473222109,0.6887218045112781,0.1848552338530067,0.6947040498442367,0.4285714285714275,0.9033816425120773,0.7091078066914498,1.0,1.0,3,2,Centroid,"[0.45418419 0.69980214 0.92638612 0.6860141  0.52246241 0.95541995
 0.34279006 0.94736842 0.84520124]","[0.73572838 0.63313122 0.21993917 0.65330118 0.46662826 0.90592696
 0.73112284 0.99545998 0.97617542]"
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,1,0.7919227392449534,0.6766917293233081,0.23608017817371937,0.6542056074766356,0.38035714285714245,0.8888888888888888,0.7565055762081784,1.0,0.5294117647058824,1,1,Class,3,3
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,1,0.7221246707638306,0.6796992481203008,0.2071269487750557,0.6947040498442367,0.39285714285714374,0.9130434782608695,0.7258364312267658,1.0,0.6666666666666666,1,1,Label in Dataset,1,5
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,1,0.7155399473222109,0.7172932330827069,0.20044543429844106,0.6822429906542056,0.3785714285714272,0.9066022544283414,0.7146840148698885,1.0,1.0,3,2,Number of elements,122,11
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,1,0.7164179104477654,0.6872180451127818,0.2115812917594655,0.7071651090342679,0.3875000000000007,0.9066022544283414,0.724907063197026,1.0,1.0,3,2,Centroid,"[0.69287483 0.60745717 0.22759137 0.67629335 0.50791862 0.91986748
 0.70667012 0.99021598 0.9750884 ]","[0.35050682 0.7367054  0.99331849 0.69328802 0.60503247 0.96135266
 0.25642109 0.90909091 0.76470588]"
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,1,0.7063213345039474,0.7067669172932332,0.18262806236080184,0.7289719626168224,0.41071428571428564,0.9017713365539451,0.696096654275093,1.0,1.0,3,2,Class,4,4
1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,1,0.5254609306409141,0.45413533834586467,0.1425389755011136,0.8130841121495327,0.7232142857142859,0.9758454106280192,0.654275092936803,1.0,1.0,3,5,Label in Dataset,7,6
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0.0,0.0,1,0.6505706760316085,0.5233082706766916,0.16926503340757243,0.7227414330218069,0.5874999999999991,0.9903381642512078,0.6784386617100372,1.0,1.0,3,5,Number of elements,31,2
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,1,0.7278314310798957,0.6556390977443609,0.2115812917594655,0.5638629283489097,0.47857142857142776,0.9130434782608695,0.7202602230483272,1.0,0.8627450980392157,3,2,Centroid,"[0.76013198 0.42920204 0.93670522 0.43432821 0.3999424  0.96104098
 0.70254227 0.69749104 0.97533207]","[0.91066725 0.65714286 1.         0.14641745 0.86071429 0.
 0.85920074 1.         1.        ]"
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,1,0.721246707638276,0.6857142857142857,0.20935412026726066,0.6261682242990654,0.47499999999999987,0.9130434782608695,0.712825278810409,1.0,0.6274509803921569,1,1,Class,5,5
1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,1,0.6264266900790163,0.3924812030075188,0.16481069042316263,1.0,0.6053571428571436,0.9951690821256038,0.6682156133828997,1.0,1.0,3,5,Label in Dataset,5,3
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0.0,0.0,1,0.7273924495171185,0.6917293233082707,0.1937639198218263,0.6884735202492211,0.4678571428571416,0.9049919484702094,0.696096654275093,1.0,1.0,3,2,Number of elements,0,22
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0,1,0.7208077260755086,0.6872180451127818,0.20489977728285086,0.6697819314641744,0.4267857142857148,0.9001610305958132,0.7063197026022305,1.0,1.0,3,2,Centroid,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.52023306 0.52863978 0.17766754 0.82497876 0.65836039 0.9776753
 0.61401656 0.98845599 0.95811052]"
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,1,0.7344161545215054,0.6015037593984961,0.2204899777282851,0.7320872274143303,0.457142857142858,0.9194847020933977,0.7211895910780669,1.0,1.0,3,2,Class,6,6
1.51764,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,1,0.7151009657594337,0.6616541353383458,0.2115812917594655,0.7133956386292835,0.43035714285714266,0.895330112721417,0.7118959107806693,1.0,1.0,3,2,Label in Dataset,6,7
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,1,0.7023705004389815,0.6270676691729322,0.2249443207126949,0.6510903426791277,0.49464285714285694,0.9049919484702094,0.7211895910780669,1.0,1.0,3,2,Number of elements,2,30
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,1,0.733977172958738,0.6781954887218046,0.2249443207126949,0.67601246105919,0.42321428571428443,0.9098228663446055,0.7211895910780669,1.0,1.0,3,2,Centroid,"[0.91066725 0.65714286 1.         0.14641745 0.86071429 0.
 0.85920074 1.         1.        ]","[0.74941469 0.45102757 1.         0.46801661 0.35583333 0.96586151
 0.66226766 0.73650794 0.9745098 ]"
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,1,0.7133450395083443,0.7248120300751879,0.2160356347438753,0.6448598130841122,0.40357142857142736,0.9082125603864734,0.7109665427509294,1.0,1.0,3,2,Cost,21.05327850252763,17.257053577777008
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0,1,0.7063213345039474,0.6466165413533834,0.22271714922048996,0.6915887850467289,0.4553571428571428,0.9033816425120773,0.7156133828996283,1.0,1.0,3,2,Dunn Index,0.007623743277667269,0.007675725932984271
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0.0,0.14,1,0.7133450395083443,0.7112781954887217,0.2071269487750557,0.6853582554517135,0.4160714285714287,0.9017713365539451,0.6970260223048328,1.0,0.7254901960784313,1,1,Davies Bouldin Score,0.4402430408777101,0.4319212130477264
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,1,0.722563652326598,0.6827067669172933,0.2204899777282851,0.7352024922118381,0.3821428571428576,0.9098228663446055,0.7100371747211895,1.0,1.0,3,2,Silhouette Score,0.7302538671622024,0.7404441166118411
1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1,0.7102721685689231,0.681203007518797,0.2249443207126949,0.7071651090342679,0.4357142857142858,0.9017713365539451,0.7091078066914498,0.9714285714285714,0.5686274509803922,1,1,Calinski Harabasz Score,611.386964344609,1542.8451436247944
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,1,0.719929762949954,0.7233082706766917,0.22717149220489977,0.6604361370716512,0.3607142857142854,0.9033816425120773,0.7100371747211895,1.0,0.8823529411764706,3,2,Jaccard Score,0.308868501529052,0.2478134110787172
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,1,0.7067603160667246,0.7052631578947369,0.2115812917594655,0.6728971962616823,0.4392857142857136,0.9082125603864734,0.6914498141263941,1.0,1.0,3,2,Fowlkes Mallows Score,0.44835188869729237,0.40265536442875177
1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0,1,0.8015803336259845,0.6150375939849625,0.23162583518930957,0.7133956386292835,0.4767857142857151,0.9098228663446055,0.70817843866171,1.0,1.0,3,2,Rand Index,0.6381466368303278,0.6913255232328551
1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.0,1,0.6514486391571532,0.5248120300751878,0.21380846325167047,0.6791277258566978,0.6428571428571425,0.9178743961352658,0.6886617100371748,0.9650793650793651,1.0,3,5,F1 Score,0.4719626168224299,0.397196261682243
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0.0,0.0,1,0.7006145741878823,0.6977443609022556,0.2249443207126949,0.6697819314641744,0.43750000000000094,0.8969404186795492,0.6979553903345725,1.0,1.0,3,2,,,
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1,0.5179982440737498,0.4766917293233081,0.14922048997772835,0.9439252336448599,0.6500000000000008,0.9822866344605474,0.6152416356877324,1.0,1.0,3,5,,,
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1,0.5179982440737498,0.4766917293233081,0.14922048997772835,0.9439252336448599,0.6500000000000008,0.9822866344605474,0.6152416356877324,1.0,1.0,3,5,,,
1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0,1,0.7023705004389815,0.6902255639097745,0.2204899777282851,0.7414330218068536,0.4249999999999996,0.8969404186795492,0.6895910780669146,1.0,1.0,3,2,,,
1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0.0,0.0,1,0.7190517998244094,0.7022556390977442,0.23830734966592432,0.7165109034267912,0.3946428571428564,0.9049919484702094,0.7016728624535316,1.0,1.0,3,2,,,
1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0.0,0.0,1,0.7085162423178238,0.6270676691729322,0.24498886414253898,0.67601246105919,0.4732142857142847,0.9049919484702094,0.7063197026022305,1.0,1.0,3,2,,,
1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0.0,0.0,1,0.5193151887620718,0.5488721804511277,0.14476614699331855,0.8660436137071652,0.6517857142857134,0.9726247987117552,0.5994423791821561,1.0,1.0,3,5,,,
1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3,1,0.7054433713784026,0.6992481203007518,0.23608017817371937,0.7196261682242991,0.4392857142857136,0.9001610305958132,0.6905204460966543,1.0,0.411764705882353,1,1,,,
1.519,13.49,3.48,1.35,71.95,0.55,9.0,0.0,0.0,1,0.6553994732221289,0.5849624060150376,0.2249443207126949,0.6697819314641744,0.6178571428571423,0.9114331723027376,0.6682156133828997,1.0,1.0,3,2,,,
1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0.0,0.16,1,0.6690079016681257,0.6300751879699249,0.24944320712694878,0.7227414330218069,0.4803571428571429,0.9082125603864734,0.6840148698884758,1.0,0.6862745098039215,1,1,,,
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0.0,0.1,1,0.3187006145741895,0.5097744360902255,0.1759465478841871,0.8691588785046729,0.685714285714287,0.996779388083736,0.5920074349442379,1.0,0.803921568627451,3,5,,,
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0,1,0.5136084284460066,0.6270676691729322,0.16035634743875282,0.8442367601246106,0.6107142857142867,0.9790660225442834,0.5734200743494424,1.0,1.0,3,5,,,
1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0,1,0.6562774363476735,0.5714285714285714,0.2538975501113586,0.7071651090342679,0.5946428571428575,0.9049919484702094,0.6765799256505576,1.0,1.0,3,2,,,
1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0.0,0.16,1,0.4710272168568874,0.550375939849624,0.1714922048997773,0.9314641744548288,0.6535714285714286,0.9855072463768116,0.5697026022304833,1.0,0.6862745098039215,1,5,,,
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0.0,0.11,1,0.6439859525899889,0.6285714285714287,0.2583518930957684,0.6915887850467289,0.5446428571428572,0.9033816425120773,0.6552044609665427,1.0,0.7843137254901961,3,1,,,
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1,0.6957857769973619,0.5939849624060151,0.3608017817371938,0.7196261682242991,0.4589285714285707,0.9114331723027376,0.6654275092936803,1.0,1.0,3,2,,,
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,1,0.6830553116769097,0.6375939849624059,0.36748329621380854,0.6915887850467289,0.457142857142858,0.9114331723027376,0.6617100371747212,1.0,1.0,3,2,,,
1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.0,0.09,1,0.7089552238806011,0.6270676691729322,0.3741648106904232,0.6884735202492211,0.43392857142857055,0.9178743961352658,0.6663568773234201,1.0,0.823529411764706,3,2,,,
1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0.0,0.24,1,0.712906057945567,0.7413533834586468,0.3964365256124722,0.6884735202492211,0.30535714285714205,0.9098228663446055,0.662639405204461,1.0,0.5294117647058824,1,1,,,
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,1,0.9561018437225588,0.6601503759398496,0.22717149220489977,0.7414330218068536,0.43392857142857055,0.9001610305958132,0.7286245353159851,1.0,0.39215686274509803,1,1,,,
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0.0,0.0,1,0.6887620719929748,0.6781954887218046,0.2249443207126949,0.6884735202492211,0.4392857142857136,0.9033816425120773,0.7211895910780669,1.0,1.0,3,2,,,
1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0.0,0.0,1,0.7194907813871866,0.5864661654135337,0.16703786191536749,0.7258566978193147,0.4321428571428579,0.9049919484702094,0.7583643122676581,1.0,1.0,3,2,,,
1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11,1,0.7194907813871866,0.5999999999999999,0.1848552338530067,0.7196261682242991,0.4678571428571416,0.9082125603864734,0.7360594795539034,1.0,0.7843137254901961,3,2,,,
1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0.0,0.0,1,0.6532045654082524,0.5684210526315789,0.1937639198218263,0.7445482866043612,0.49464285714285694,0.9774557165861514,0.6905204460966543,1.0,1.0,3,2,,,
1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.0,1,0.6215978928884959,0.5368421052631578,0.20267260579064592,0.6791277258566978,0.6589285714285716,0.9806763285024155,0.6988847583643123,0.780952380952381,1.0,3,5,,,
1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0.0,0.11,1,0.5359964881474997,0.5819548872180451,0.14031180400890875,0.8161993769470406,0.6464285714285704,0.9629629629629629,0.6180297397769517,1.0,0.7843137254901961,3,5,,,
1.52227,14.17,3.81,0.78,71.35,0.0,9.69,0.0,0.0,1,0.5118525021949075,0.4827067669172932,0.15144766146993321,0.8473520249221184,0.7250000000000011,1.0,0.6040892193308551,1.0,1.0,3,5,,,
1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0.0,0.07,1,0.5359964881474997,0.5864661654135337,0.16703786191536749,0.809968847352025,0.6071428571428562,0.9710144927536233,0.6115241635687734,1.0,0.8627450980392157,3,5,,,
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0.0,0.0,1,0.5680421422300237,0.5548872180451129,0.20044543429844106,0.7414330218068536,0.6160714285714297,0.9855072463768116,0.6310408921933085,1.0,1.0,3,5,,,
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,1,0.544776119402986,0.6511278195488721,0.18708240534521164,0.8193146417445483,0.5696428571428573,0.9694041867954911,0.5892193308550187,1.0,0.6666666666666666,1,1,,,
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17,1,0.544776119402986,0.6511278195488721,0.18708240534521164,0.8193146417445483,0.5517857142857154,0.9694041867954911,0.5892193308550187,1.0,0.6666666666666666,1,1,,,
1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0.0,0.16,1,0.544776119402986,0.6406015037593986,0.20267260579064592,0.809968847352025,0.5732142857142852,0.9629629629629629,0.5920074349442379,1.0,0.6862745098039215,1,1,,,
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,1,0.4798068481123835,0.6120300751879698,0.20267260579064592,0.8348909657320873,0.6107142857142867,0.9806763285024155,0.5594795539033458,1.0,0.9411764705882353,3,5,,,
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0.0,0.12,2,0.7985074626865633,0.37894736842105264,0.18262806236080184,0.5482866043613708,0.6321428571428563,0.9742351046698873,0.820631970260223,1.0,0.7647058823529412,3,2,,,
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0.0,0.32,2,0.6782265144863893,0.5624060150375939,0.1380846325167038,0.6947040498442367,0.6160714285714297,0.9130434782608695,0.7314126394052044,1.0,0.37254901960784315,1,1,,,
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0.0,0.0,2,0.7901668129938542,0.6451127819548872,0.20044543429844106,0.616822429906542,0.4125000000000008,0.8921095008051529,0.7769516728624535,1.0,1.0,3,2,,,
1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0.0,0.0,2,0.7734855136084263,0.6075187969924812,0.20489977728285086,0.6012461059190031,0.4535714285714276,0.9017713365539451,0.7713754646840149,1.0,1.0,3,2,,,
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0.0,0.0,2,0.7888498683055322,0.6556390977443609,0.2071269487750557,0.6105919003115264,0.41071428571428564,0.8840579710144928,0.7704460966542751,1.0,1.0,3,2,,,
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0.0,0.0,2,0.7914837576821762,0.6556390977443609,0.20267260579064592,0.6199376947040498,0.4089285714285704,0.8888888888888888,0.7648698884758364,1.0,1.0,3,2,,,
1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.0,0.0,2,0.767339771729584,0.5924812030075188,0.19599109131403125,0.6105919003115264,0.5392857142857141,0.893719806763285,0.7583643122676581,1.0,1.0,3,2,,,
1.51627,13.0,3.58,1.54,72.83,0.61,8.04,0.0,0.0,2,0.7752414398595255,0.6586466165413534,0.20267260579064592,0.6105919003115264,0.46071428571428585,0.9017713365539451,0.7574349442379184,1.0,1.0,3,2,,,
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.0,0.14,2,0.7813871817383679,0.5203007518796993,0.2160356347438753,0.7009345794392523,0.45178571428571496,0.9404186795491143,0.7667286245353159,1.0,0.7254901960784313,1,1,,,
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0.0,0.0,2,0.7914837576821762,0.6857142857142857,0.2160356347438753,0.49844236760124616,0.4553571428571428,0.8888888888888888,0.7639405204460967,1.0,1.0,3,2,,,
1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0.0,0.0,2,0.7906057945566314,0.6796992481203008,0.2160356347438753,0.42990654205607476,0.49107142857142905,0.8888888888888888,0.7639405204460967,1.0,1.0,3,2,,,
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0.0,0.0,2,0.7901668129938542,0.6210526315789473,0.23162583518930957,0.6448598130841122,0.39999999999999947,0.9017713365539451,0.7741635687732342,1.0,1.0,3,2,,,
1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0.0,0.0,2,0.7669007901668164,0.5969924812030075,0.20935412026726066,0.7009345794392523,0.46428571428571375,0.890499194847021,0.7518587360594796,1.0,1.0,3,2,,,
1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0.0,0.09,2,0.7897278314310769,0.6451127819548872,0.2160356347438753,0.6074766355140186,0.4535714285714276,0.890499194847021,0.7565055762081784,1.0,0.823529411764706,3,2,,,
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0.0,0.0,2,0.8709394205443398,0.47067669172932325,0.31180400890868604,0.4423676012461059,0.5589285714285712,0.8228663446054749,0.8466542750929368,1.0,1.0,3,2,,,
1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.0,0.0,2,0.7761194029850703,0.6045112781954888,0.20267260579064592,0.6261682242990654,0.4803571428571429,0.927536231884058,0.7416356877323419,1.0,1.0,3,2,,,
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.0,0.0,2,0.8007023705004397,0.6225563909774435,0.22271714922048996,0.6323987538940811,0.3857142857142855,0.9388083735909823,0.7583643122676581,1.0,1.0,3,2,,,
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0.0,0.1,2,0.767339771729584,0.5984962406015036,0.22271714922048996,0.616822429906542,0.4928571428571417,0.8921095008051529,0.7537174721189591,1.0,0.803921568627451,3,2,,,
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0.0,0.0,2,0.7791922739244914,0.6571428571428571,0.2204899777282851,0.6292834890965732,0.44999999999999973,0.9033816425120773,0.7500000000000001,1.0,1.0,3,2,,,
1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0.0,0.09,2,0.7695346795434604,0.7263157894736841,0.2249443207126949,0.5077881619937694,0.38928571428571335,0.8985507246376812,0.7537174721189591,1.0,0.823529411764706,3,2,,,
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.0,0.22,2,0.6812993854258105,0.6691729323308271,0.16703786191536749,0.7445482866043612,0.5589285714285712,0.8969404186795492,0.6719330855018587,1.0,0.5686274509803922,1,1,,,
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0.0,0.0,2,0.7848990342405663,0.6736842105263158,0.2338530066815145,0.6386292834890965,0.41964285714285654,0.9291465378421899,0.7360594795539034,1.0,1.0,3,2,,,
1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.0,0.19,2,0.7923617208077306,0.6406015037593986,0.24053452115812918,0.5981308411214953,0.3839285714285703,0.9887278582930756,0.724907063197026,1.0,0.6274509803921569,1,1,,,
1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0.0,0.0,2,0.7914837576821762,0.6225563909774435,0.25612472160356353,0.6323987538940811,0.4125000000000008,0.9371980676328503,0.7407063197026021,1.0,1.0,3,2,,,
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.0,0.0,2,0.7743634767339808,0.7022556390977442,0.2583518930957684,0.6261682242990654,0.38035714285714245,0.8921095008051529,0.7388475836431226,1.0,1.0,3,2,,,
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0.0,0.0,2,0.6729587357331014,0.6045112781954888,0.23608017817371937,0.6448598130841122,0.562499999999999,0.9178743961352658,0.7053903345724908,1.0,1.0,3,2,,,
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15,2,0.6812993854258105,0.6556390977443609,0.1937639198218263,0.7601246105919003,0.5482142857142851,0.8969404186795492,0.6561338289962825,1.0,0.7058823529411764,1,1,,,
1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24,2,0.7243195785776972,0.7789473684210527,0.2761692650334076,0.7289719626168224,0.3321428571428574,0.9001610305958132,0.6775092936802973,1.0,0.5294117647058824,1,1,,,
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.0,0.0,2,0.7480245829675122,0.7082706766917294,0.35857461024498893,0.5576323987538941,0.39285714285714374,0.8824476650563607,0.7109665427509294,1.0,1.0,3,2,,,
