Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Scaled SepalLengthCm,Scaled SepalWidthCm,Scaled PetalLengthCm,Scaled PetalWidthCm,KModesMine,KModes,Details,K Modes Mine,K Modes
1,5.1,3.5,1.4,0.2,Iris-setosa,0.7777777777777779,0.3750000000000001,0.9322033898305084,0.9583333333333333,0,0,Class,0,0
2,4.9,3.0,1.4,0.2,Iris-setosa,0.8333333333333333,0.5833333333333334,0.9322033898305084,0.9583333333333333,0,0,Label in Dataset,Iris-setosa,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa,0.8888888888888888,0.5,0.9491525423728814,0.9583333333333333,1,0,Number of elements,60,94
4,4.6,3.1,1.5,0.2,Iris-setosa,0.9166666666666667,0.5416666666666667,0.9152542372881356,0.9583333333333333,0,1,Centroid,[0.41666667 0.58333333 0.91525424 0.95833333],[0.33333333 0.58333333 0.93220339 0.95833333]
5,5.0,3.6,1.4,0.2,Iris-setosa,0.8055555555555556,0.33333333333333337,0.9322033898305084,0.9583333333333333,1,0,Class,1,1
6,5.4,3.9,1.7,0.4,Iris-setosa,0.6944444444444443,0.20833333333333348,0.8813559322033898,0.8750000000000001,1,0,Label in Dataset,Iris-virginica,Iris-virginica
7,4.6,3.4,1.4,0.3,Iris-setosa,0.9166666666666667,0.4166666666666668,0.9322033898305084,0.9166666666666667,2,0,Number of elements,48,26
8,5.0,3.4,1.5,0.2,Iris-setosa,0.8055555555555556,0.4166666666666668,0.9152542372881356,0.9583333333333333,0,1,Centroid,[0.80555556 0.58333333 0.30508475 0.95833333],[0.80555556 0.41666667 0.91525424 0.95833333]
9,4.4,2.9,1.4,0.2,Iris-setosa,0.9722222222222221,0.6250000000000001,0.9322033898305084,0.9583333333333333,0,0,Class,2,2
10,4.9,3.1,1.5,0.1,Iris-setosa,0.8333333333333333,0.5416666666666667,0.9152542372881356,1.0,0,1,Label in Dataset,Iris-versicolor,Iris-versicolor
11,5.4,3.7,1.5,0.2,Iris-setosa,0.6944444444444443,0.2916666666666667,0.9152542372881356,0.9583333333333333,0,1,Number of elements,42,30
12,4.8,3.4,1.6,0.2,Iris-setosa,0.8611111111111112,0.4166666666666668,0.8983050847457628,0.9583333333333333,0,1,Centroid,[0.61111111 0.66666667 0.37288136 0.5       ],[0.61111111 0.66666667 0.40677966 0.5       ]
13,4.8,3.0,1.4,0.1,Iris-setosa,0.8611111111111112,0.5833333333333334,0.9322033898305084,1.0,0,0,Cost,476.0,458.0
14,4.3,3.0,1.1,0.1,Iris-setosa,1.0,0.5833333333333334,0.9830508474576272,1.0,0,0,Dunn Index,0.009625148029123835,0.0094959671488716
15,5.8,4.0,1.2,0.2,Iris-setosa,0.5833333333333334,0.1666666666666668,0.9661016949152542,0.9583333333333333,0,0,Davies Bouldin Score,0.9761975938156747,0.6362664972740824
16,5.7,4.4,1.5,0.4,Iris-setosa,0.611111111111111,0.0,0.9152542372881356,0.8750000000000001,2,1,Silhouette Score,0.4926870774471589,0.5547137519706581
17,5.4,3.9,1.3,0.4,Iris-setosa,0.6944444444444443,0.20833333333333348,0.9491525423728814,0.8750000000000001,0,0,Calinski Harabasz Score,190.7065550665201,226.44035141438212
18,5.1,3.5,1.4,0.3,Iris-setosa,0.7777777777777779,0.3750000000000001,0.9322033898305084,0.9166666666666667,1,0,Jaccard Score,0.3274336283185841,0.1952191235059761
19,5.7,3.8,1.7,0.3,Iris-setosa,0.611111111111111,0.25000000000000017,0.8813559322033898,0.9166666666666667,2,2,Fowlkes Mallows Score,0.37694093259787065,0.43501304327926715
20,5.1,3.8,1.5,0.3,Iris-setosa,0.7777777777777779,0.25000000000000017,0.9152542372881356,0.9166666666666667,0,1,Rand Index,0.585503355704698,0.5500671140939597
21,5.4,3.4,1.7,0.2,Iris-setosa,0.6944444444444443,0.4166666666666668,0.8813559322033898,0.9583333333333333,1,1,F1 Score,0.4933333333333334,0.32666666666666666
22,5.1,3.7,1.5,0.4,Iris-setosa,0.7777777777777779,0.2916666666666667,0.9152542372881356,0.8750000000000001,0,1,,,
23,4.6,3.6,1.0,0.2,Iris-setosa,0.9166666666666667,0.33333333333333337,1.0,0.9583333333333333,1,0,,,
24,5.1,3.3,1.7,0.5,Iris-setosa,0.7777777777777779,0.4583333333333335,0.8813559322033898,0.8333333333333334,0,0,,,
25,4.8,3.4,1.9,0.2,Iris-setosa,0.8611111111111112,0.4166666666666668,0.847457627118644,0.9583333333333333,0,1,,,
26,5.0,3.0,1.6,0.2,Iris-setosa,0.8055555555555556,0.5833333333333334,0.8983050847457628,0.9583333333333333,1,0,,,
27,5.0,3.4,1.6,0.4,Iris-setosa,0.8055555555555556,0.4166666666666668,0.8983050847457628,0.8750000000000001,1,1,,,
28,5.2,3.5,1.5,0.2,Iris-setosa,0.7499999999999999,0.3750000000000001,0.9152542372881356,0.9583333333333333,0,1,,,
29,5.2,3.4,1.4,0.2,Iris-setosa,0.7499999999999999,0.4166666666666668,0.9322033898305084,0.9583333333333333,1,0,,,
30,4.7,3.2,1.6,0.2,Iris-setosa,0.8888888888888888,0.5,0.8983050847457628,0.9583333333333333,0,0,,,
31,4.8,3.1,1.6,0.2,Iris-setosa,0.8611111111111112,0.5416666666666667,0.8983050847457628,0.9583333333333333,1,0,,,
32,5.4,3.4,1.5,0.4,Iris-setosa,0.6944444444444443,0.4166666666666668,0.9152542372881356,0.8750000000000001,0,1,,,
33,5.2,4.1,1.5,0.1,Iris-setosa,0.7499999999999999,0.12500000000000028,0.9152542372881356,1.0,0,1,,,
34,5.5,4.2,1.4,0.2,Iris-setosa,0.6666666666666666,0.0833333333333334,0.9322033898305084,0.9583333333333333,0,0,,,
35,4.9,3.1,1.5,0.1,Iris-setosa,0.8333333333333333,0.5416666666666667,0.9152542372881356,1.0,0,1,,,
36,5.0,3.2,1.2,0.2,Iris-setosa,0.8055555555555556,0.5,0.9661016949152542,0.9583333333333333,1,1,,,
37,5.5,3.5,1.3,0.2,Iris-setosa,0.6666666666666666,0.3750000000000001,0.9491525423728814,0.9583333333333333,1,0,,,
38,4.9,3.1,1.5,0.1,Iris-setosa,0.8333333333333333,0.5416666666666667,0.9152542372881356,1.0,0,1,,,
39,4.4,3.0,1.3,0.2,Iris-setosa,0.9722222222222221,0.5833333333333334,0.9491525423728814,0.9583333333333333,1,0,,,
40,5.1,3.4,1.5,0.2,Iris-setosa,0.7777777777777779,0.4166666666666668,0.9152542372881356,0.9583333333333333,0,1,,,
41,5.0,3.5,1.3,0.3,Iris-setosa,0.8055555555555556,0.3750000000000001,0.9491525423728814,0.9166666666666667,1,1,,,
42,4.5,2.3,1.3,0.3,Iris-setosa,0.9444444444444444,0.8750000000000001,0.9491525423728814,0.9166666666666667,2,0,,,
43,4.4,3.2,1.3,0.2,Iris-setosa,0.9722222222222221,0.5,0.9491525423728814,0.9583333333333333,0,0,,,
44,5.0,3.5,1.6,0.6,Iris-setosa,0.8055555555555556,0.3750000000000001,0.8983050847457628,0.7916666666666666,1,1,,,
45,5.1,3.8,1.9,0.4,Iris-setosa,0.7777777777777779,0.25000000000000017,0.847457627118644,0.8750000000000001,1,0,,,
46,4.8,3.0,1.4,0.3,Iris-setosa,0.8611111111111112,0.5833333333333334,0.9322033898305084,0.9166666666666667,1,0,,,
47,5.1,3.8,1.6,0.2,Iris-setosa,0.7777777777777779,0.25000000000000017,0.8983050847457628,0.9583333333333333,0,0,,,
48,4.6,3.2,1.4,0.2,Iris-setosa,0.9166666666666667,0.5,0.9322033898305084,0.9583333333333333,0,0,,,
49,5.3,3.7,1.5,0.2,Iris-setosa,0.7222222222222222,0.2916666666666667,0.9152542372881356,0.9583333333333333,0,1,,,
50,5.0,3.3,1.4,0.2,Iris-setosa,0.8055555555555556,0.4583333333333335,0.9322033898305084,0.9583333333333333,1,0,,,
51,7.0,3.2,4.7,1.4,Iris-versicolor,0.25000000000000006,0.5,0.3728813559322034,0.45833333333333337,2,0,,,
52,6.4,3.2,4.5,1.5,Iris-versicolor,0.41666666666666663,0.5,0.4067796610169492,0.4166666666666667,0,2,,,
53,6.9,3.1,4.9,1.5,Iris-versicolor,0.27777777777777773,0.5416666666666667,0.3389830508474576,0.4166666666666667,1,0,,,
54,5.5,2.3,4.0,1.3,Iris-versicolor,0.6666666666666666,0.8750000000000001,0.4915254237288136,0.5,2,2,,,
55,6.5,2.8,4.6,1.5,Iris-versicolor,0.38888888888888895,0.6666666666666667,0.38983050847457634,0.4166666666666667,2,2,,,
56,5.7,2.8,4.5,1.3,Iris-versicolor,0.611111111111111,0.6666666666666667,0.4067796610169492,0.5,2,2,,,
57,6.3,3.3,4.7,1.6,Iris-versicolor,0.44444444444444453,0.4583333333333335,0.3728813559322034,0.375,2,0,,,
58,4.9,2.4,3.3,1.0,Iris-versicolor,0.8333333333333333,0.8333333333333334,0.6101694915254238,0.625,2,0,,,
59,6.6,2.9,4.6,1.3,Iris-versicolor,0.36111111111111127,0.6250000000000001,0.38983050847457634,0.5,2,2,,,
60,5.2,2.7,3.9,1.4,Iris-versicolor,0.7499999999999999,0.7083333333333333,0.5084745762711865,0.45833333333333337,0,0,,,
61,5.0,2.0,3.5,1.0,Iris-versicolor,0.8055555555555556,1.0,0.576271186440678,0.625,1,1,,,
62,5.9,3.0,4.2,1.5,Iris-versicolor,0.5555555555555555,0.5833333333333334,0.4576271186440678,0.4166666666666667,1,0,,,
63,6.0,2.2,4.0,1.0,Iris-versicolor,0.5277777777777778,0.9166666666666666,0.4915254237288136,0.625,0,0,,,
64,6.1,2.9,4.7,1.4,Iris-versicolor,0.5000000000000001,0.6250000000000001,0.3728813559322034,0.45833333333333337,2,0,,,
65,5.6,2.9,3.6,1.3,Iris-versicolor,0.638888888888889,0.6250000000000001,0.5593220338983051,0.5,2,2,,,
66,6.7,3.1,4.4,1.4,Iris-versicolor,0.3333333333333333,0.5416666666666667,0.423728813559322,0.45833333333333337,0,0,,,
67,5.6,3.0,4.5,1.5,Iris-versicolor,0.638888888888889,0.5833333333333334,0.4067796610169492,0.4166666666666667,0,0,,,
68,5.8,2.7,4.1,1.0,Iris-versicolor,0.5833333333333334,0.7083333333333333,0.47457627118644075,0.625,0,0,,,
69,6.2,2.2,4.5,1.5,Iris-versicolor,0.4722222222222222,0.9166666666666666,0.4067796610169492,0.4166666666666667,0,2,,,
70,5.6,2.5,3.9,1.1,Iris-versicolor,0.638888888888889,0.7916666666666667,0.5084745762711865,0.5833333333333334,0,0,,,
71,5.9,3.2,4.8,1.8,Iris-versicolor,0.5555555555555555,0.5,0.35593220338983056,0.2916666666666667,0,0,,,
72,6.1,2.8,4.0,1.3,Iris-versicolor,0.5000000000000001,0.6666666666666667,0.4915254237288136,0.5,2,2,,,
73,6.3,2.5,4.9,1.5,Iris-versicolor,0.44444444444444453,0.7916666666666667,0.3389830508474576,0.4166666666666667,0,0,,,
74,6.1,2.8,4.7,1.2,Iris-versicolor,0.5000000000000001,0.6666666666666667,0.3728813559322034,0.5416666666666667,2,2,,,
75,6.4,2.9,4.3,1.3,Iris-versicolor,0.41666666666666663,0.6250000000000001,0.44067796610169496,0.5,2,2,,,
76,6.6,3.0,4.4,1.4,Iris-versicolor,0.36111111111111127,0.5833333333333334,0.423728813559322,0.45833333333333337,1,0,,,
77,6.8,2.8,4.8,1.4,Iris-versicolor,0.30555555555555564,0.6666666666666667,0.35593220338983056,0.45833333333333337,2,2,,,
78,6.7,3.0,5.0,1.7,Iris-versicolor,0.3333333333333333,0.5833333333333334,0.3220338983050848,0.33333333333333337,0,0,,,
79,6.0,2.9,4.5,1.5,Iris-versicolor,0.5277777777777778,0.6250000000000001,0.4067796610169492,0.4166666666666667,2,2,,,
80,5.7,2.6,3.5,1.0,Iris-versicolor,0.611111111111111,0.75,0.576271186440678,0.625,2,2,,,
81,5.5,2.4,3.8,1.1,Iris-versicolor,0.6666666666666666,0.8333333333333334,0.5254237288135594,0.5833333333333334,0,0,,,
82,5.5,2.4,3.7,1.0,Iris-versicolor,0.6666666666666666,0.8333333333333334,0.5423728813559322,0.625,1,0,,,
83,5.8,2.7,3.9,1.2,Iris-versicolor,0.5833333333333334,0.7083333333333333,0.5084745762711865,0.5416666666666667,2,0,,,
84,6.0,2.7,5.1,1.6,Iris-versicolor,0.5277777777777778,0.7083333333333333,0.30508474576271194,0.375,1,0,,,
85,5.4,3.0,4.5,1.5,Iris-versicolor,0.6944444444444443,0.5833333333333334,0.4067796610169492,0.4166666666666667,0,0,,,
86,6.0,3.4,4.5,1.6,Iris-versicolor,0.5277777777777778,0.4166666666666668,0.4067796610169492,0.375,1,1,,,
87,6.7,3.1,4.7,1.5,Iris-versicolor,0.3333333333333333,0.5416666666666667,0.3728813559322034,0.4166666666666667,2,0,,,
88,6.3,2.3,4.4,1.3,Iris-versicolor,0.44444444444444453,0.8750000000000001,0.423728813559322,0.5,2,2,,,
89,5.6,3.0,4.1,1.3,Iris-versicolor,0.638888888888889,0.5833333333333334,0.47457627118644075,0.5,2,0,,,
90,5.5,2.5,4.0,1.3,Iris-versicolor,0.6666666666666666,0.7916666666666667,0.4915254237288136,0.5,2,2,,,
91,5.5,2.6,4.4,1.2,Iris-versicolor,0.6666666666666666,0.75,0.423728813559322,0.5416666666666667,0,0,,,
92,6.1,3.0,4.6,1.4,Iris-versicolor,0.5000000000000001,0.5833333333333334,0.38983050847457634,0.45833333333333337,0,0,,,
93,5.8,2.6,4.0,1.2,Iris-versicolor,0.5833333333333334,0.75,0.4915254237288136,0.5416666666666667,0,0,,,
94,5.0,2.3,3.3,1.0,Iris-versicolor,0.8055555555555556,0.8750000000000001,0.6101694915254238,0.625,1,1,,,
95,5.6,2.7,4.2,1.3,Iris-versicolor,0.638888888888889,0.7083333333333333,0.4576271186440678,0.5,2,2,,,
96,5.7,3.0,4.2,1.2,Iris-versicolor,0.611111111111111,0.5833333333333334,0.4576271186440678,0.5416666666666667,1,0,,,
97,5.7,2.9,4.2,1.3,Iris-versicolor,0.611111111111111,0.6250000000000001,0.4576271186440678,0.5,2,2,,,
98,6.2,2.9,4.3,1.3,Iris-versicolor,0.4722222222222222,0.6250000000000001,0.44067796610169496,0.5,2,2,,,
99,5.1,2.5,3.0,1.1,Iris-versicolor,0.7777777777777779,0.7916666666666667,0.6610169491525424,0.5833333333333334,2,0,,,
100,5.7,2.8,4.1,1.3,Iris-versicolor,0.611111111111111,0.6666666666666667,0.47457627118644075,0.5,2,2,,,
101,6.3,3.3,6.0,2.5,Iris-virginica,0.44444444444444453,0.4583333333333335,0.15254237288135597,0.0,2,0,,,
102,5.8,2.7,5.1,1.9,Iris-virginica,0.5833333333333334,0.7083333333333333,0.30508474576271194,0.25000000000000006,1,0,,,
103,7.1,3.0,5.9,2.1,Iris-virginica,0.22222222222222238,0.5833333333333334,0.1694915254237288,0.16666666666666663,0,0,,,
104,6.3,2.9,5.6,1.8,Iris-virginica,0.44444444444444453,0.6250000000000001,0.22033898305084756,0.2916666666666667,0,0,,,
105,6.5,3.0,5.8,2.2,Iris-virginica,0.38888888888888895,0.5833333333333334,0.18644067796610178,0.12499999999999993,1,0,,,
106,7.6,3.0,6.6,2.1,Iris-virginica,0.08333333333333352,0.5833333333333334,0.05084745762711876,0.16666666666666663,1,0,,,
107,4.9,2.5,4.5,1.7,Iris-virginica,0.8333333333333333,0.7916666666666667,0.4067796610169492,0.33333333333333337,2,2,,,
108,7.3,2.9,6.3,1.8,Iris-virginica,0.1666666666666668,0.6250000000000001,0.10169491525423738,0.2916666666666667,0,0,,,
109,6.7,2.5,5.8,1.8,Iris-virginica,0.3333333333333333,0.7916666666666667,0.18644067796610178,0.2916666666666667,0,0,,,
110,7.2,3.6,6.1,2.5,Iris-virginica,0.19444444444444448,0.33333333333333337,0.13559322033898316,0.0,2,0,,,
111,6.5,3.2,5.1,2.0,Iris-virginica,0.38888888888888895,0.5,0.30508474576271194,0.20833333333333334,1,0,,,
112,6.4,2.7,5.3,1.9,Iris-virginica,0.41666666666666663,0.7083333333333333,0.27118644067796616,0.25000000000000006,0,0,,,
113,6.8,3.0,5.5,2.1,Iris-virginica,0.30555555555555564,0.5833333333333334,0.23728813559322037,0.16666666666666663,1,0,,,
114,5.7,2.5,5.0,2.0,Iris-virginica,0.611111111111111,0.7916666666666667,0.3220338983050848,0.20833333333333334,2,2,,,
115,5.8,2.8,5.1,2.4,Iris-virginica,0.5833333333333334,0.6666666666666667,0.30508474576271194,0.041666666666666706,1,2,,,
116,6.4,3.2,5.3,2.3,Iris-virginica,0.41666666666666663,0.5,0.27118644067796616,0.08333333333333341,0,0,,,
117,6.5,3.0,5.5,1.8,Iris-virginica,0.38888888888888895,0.5833333333333334,0.23728813559322037,0.2916666666666667,1,0,,,
118,7.7,3.8,6.7,2.2,Iris-virginica,0.055555555555555594,0.25000000000000017,0.03389830508474579,0.12499999999999993,1,0,,,
119,7.7,2.6,6.9,2.3,Iris-virginica,0.055555555555555594,0.75,0.0,0.08333333333333341,1,0,,,
120,6.0,2.2,5.0,1.5,Iris-virginica,0.5277777777777778,0.9166666666666666,0.3220338983050848,0.4166666666666667,2,0,,,
121,6.9,3.2,5.7,2.3,Iris-virginica,0.27777777777777773,0.5,0.2033898305084746,0.08333333333333341,0,0,,,
122,5.6,2.8,4.9,2.0,Iris-virginica,0.638888888888889,0.6666666666666667,0.3389830508474576,0.20833333333333334,2,2,,,
123,7.7,2.8,6.7,2.0,Iris-virginica,0.055555555555555594,0.6666666666666667,0.03389830508474579,0.20833333333333334,2,2,,,
124,6.3,2.7,4.9,1.8,Iris-virginica,0.44444444444444453,0.7083333333333333,0.3389830508474576,0.2916666666666667,2,0,,,
125,6.7,3.3,5.7,2.1,Iris-virginica,0.3333333333333333,0.4583333333333335,0.2033898305084746,0.16666666666666663,0,0,,,
126,7.2,3.2,6.0,1.8,Iris-virginica,0.19444444444444448,0.5,0.15254237288135597,0.2916666666666667,2,0,,,
127,6.2,2.8,4.8,1.8,Iris-virginica,0.4722222222222222,0.6666666666666667,0.35593220338983056,0.2916666666666667,2,2,,,
128,6.1,3.0,4.9,1.8,Iris-virginica,0.5000000000000001,0.5833333333333334,0.3389830508474576,0.2916666666666667,1,0,,,
129,6.4,2.8,5.6,2.1,Iris-virginica,0.41666666666666663,0.6666666666666667,0.22033898305084756,0.16666666666666663,0,2,,,
130,7.2,3.0,5.8,1.6,Iris-virginica,0.19444444444444448,0.5833333333333334,0.18644067796610178,0.375,1,0,,,
131,7.4,2.8,6.1,1.9,Iris-virginica,0.13888888888888887,0.6666666666666667,0.13559322033898316,0.25000000000000006,2,2,,,
132,7.9,3.8,6.4,2.0,Iris-virginica,0.0,0.25000000000000017,0.0847457627118644,0.20833333333333334,0,0,,,
133,6.4,2.8,5.6,2.2,Iris-virginica,0.41666666666666663,0.6666666666666667,0.22033898305084756,0.12499999999999993,0,2,,,
134,6.3,2.8,5.1,1.5,Iris-virginica,0.44444444444444453,0.6666666666666667,0.30508474576271194,0.4166666666666667,2,2,,,
135,6.1,2.6,5.6,1.4,Iris-virginica,0.5000000000000001,0.75,0.22033898305084756,0.45833333333333337,1,0,,,
136,7.7,3.0,6.1,2.3,Iris-virginica,0.055555555555555594,0.5833333333333334,0.13559322033898316,0.08333333333333341,0,0,,,
137,6.3,3.4,5.6,2.4,Iris-virginica,0.44444444444444453,0.4166666666666668,0.22033898305084756,0.041666666666666706,1,1,,,
138,6.4,3.1,5.5,1.8,Iris-virginica,0.41666666666666663,0.5416666666666667,0.23728813559322037,0.2916666666666667,0,0,,,
139,6.0,3.0,4.8,1.8,Iris-virginica,0.5277777777777778,0.5833333333333334,0.35593220338983056,0.2916666666666667,0,0,,,
140,6.9,3.1,5.4,2.1,Iris-virginica,0.27777777777777773,0.5416666666666667,0.2542372881355932,0.16666666666666663,0,0,,,
141,6.7,3.1,5.6,2.4,Iris-virginica,0.3333333333333333,0.5416666666666667,0.22033898305084756,0.041666666666666706,1,0,,,
142,6.9,3.1,5.1,2.3,Iris-virginica,0.27777777777777773,0.5416666666666667,0.30508474576271194,0.08333333333333341,1,0,,,
143,5.8,2.7,5.1,1.9,Iris-virginica,0.5833333333333334,0.7083333333333333,0.30508474576271194,0.25000000000000006,1,0,,,
144,6.8,3.2,5.9,2.3,Iris-virginica,0.30555555555555564,0.5,0.1694915254237288,0.08333333333333341,1,0,,,
145,6.7,3.3,5.7,2.5,Iris-virginica,0.3333333333333333,0.4583333333333335,0.2033898305084746,0.0,0,0,,,
146,6.7,3.0,5.2,2.3,Iris-virginica,0.3333333333333333,0.5833333333333334,0.288135593220339,0.08333333333333341,1,0,,,
147,6.3,2.5,5.0,1.9,Iris-virginica,0.44444444444444453,0.7916666666666667,0.3220338983050848,0.25000000000000006,2,0,,,
148,6.5,3.0,5.2,2.0,Iris-virginica,0.38888888888888895,0.5833333333333334,0.288135593220339,0.20833333333333334,1,0,,,
149,6.2,3.4,5.4,2.3,Iris-virginica,0.4722222222222222,0.4166666666666668,0.2542372881355932,0.08333333333333341,1,1,,,
150,5.9,3.0,5.1,1.8,Iris-virginica,0.5555555555555555,0.5833333333333334,0.30508474576271194,0.2916666666666667,1,0,,,
